feature,importance
temperature_(°c),34394696342.39436
cooling_degree,26647440326.90069
temp_sq,6932376070.460388
humidity_(%),15369808.108427048
temp_humidity,12016631.04850769
temp_diff_1h,3737439.150927663
temp_solar,1986493.3549824953
solar_irradiance_(w/m²),1748025.1588411331
load_mean_24h,1094573.6264721155
load_lag_96,1041015.9738103151
load_std_24h,927863.0976749659
gdp_(lkr),887207.0865082741
wind_speed_(m/s),881310.2159608603
per_capita_energy_use_(kwh),798244.2138675451
load_lag_672,762558.2212826014
electricity_price_(lkr/kwh),703775.5145744085
time_idx,629779.0124716759
rainfall_(mm),610235.0706287622
month,493889.88684272766
hour_of_day,479004.6776435375
load_diff_1h,445110.03231167793
hour_sin,341502.76068019867
hour_cos,229003.91402089596
season,205523.87325072289
day_of_week,159828.34868693352
is_peak_hour,15393.232701301575
is_business_hours,6747.319244623184
public_event,3616.724114894867
is_weekend,2887.1296105384827
